OPERATOR_ID,NAME,COUNTRY,CONTINENT,GSMA_NOTES,NUMBER OF SUBMISSIONS,LATEST_2G,LATEST_3G,LATEST_4G,LATEST_5G
5815,kt Rwanda Networks,"Rwanda, Republic of",AFRICA,-,-,No Licence,No Licence,Not Submitted,-
6341,Vanu,"Rwanda, Republic of",AFRICA,-,1,2018,No Licence,No Licence,-
1207,Vodafone (ATH),Samoa,OCEANIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
1209,Digicel (Telstra),Samoa,OCEANIA,-,1,2010,Not Submitted,Not Submitted,-
2026,Prima (San Marino Telecom),"San Marino, Republic of",EUROPE,-,3,2008,2010,No Licence,No Licence
6688,Telefonia Mobile Sammarinese (Telecom Italia),"San Marino, Republic of",EUROPE,-,-,No Licence,No Licence,Not Submitted,-
118,CST,São Tomé and Príncipe,AFRICA,-,1,2011,Not Submitted,No Licence,-
5477,Unitel,São Tomé and Príncipe,AFRICA,-,1,2019,2019,No Licence,-
412,STC,Saudi Arabia,ASIA,-,2,2016,2016,2016,-
684,Mobily (Etihad Etisalat),Saudi Arabia,ASIA,-,1,2013,2013,Not Submitted,-
1483,Zain,Saudi Arabia,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
6660,GO Telecom (Etihad Atheeb Telecom),Saudi Arabia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
755,Orange (Sonatel),Senegal,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
756,free (SAGA),Senegal,AFRICA,-,1,Not Submitted,2015,Not Submitted,-
1888,Expresso (Sudatel),Senegal,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3540,Glo Mobile (Globacom),Senegal,AFRICA,-,-,Not Submitted,No Licence,No Licence,-
292,Yettel (PPF),Serbia,EUROPE,-,6,2016,2016,2016,-
502,mts (Telekom Srbija),Serbia,EUROPE,-,3,2017,2017,2017,-
1199,A1,Serbia,EUROPE,-,3,2012,2012,Not Submitted,-
55,Cable & Wireless,Seychelles,AFRICA,-,1,2018,2018,2018,No Licence
485,Airtel (Airtel Africa),Seychelles,AFRICA,-,1,2015,2015,2015,-
86,Orange (Sonatel),Sierra Leone,AFRICA,-,2,2014,2014,No Licence,-
